<L>6024<pc>135,1<k1>ucCaS<k2>uc-CaS
<L>6034<pc>135,2<k1>ucCuz<k2>uc-Cuz
<L>6051<pc>135,2<k1>ucCri<k2>uc-Cri
<L>6053<pc>135,2<k1>ucCvas<k2>uc-Cvas
<L>6158<pc>138,1<k1>uttamB<k2>ut-tamB
<L>6189<pc>139,1<k1>utTA<k2>ut-TA
<L>6236<pc>140,1<k1>utprekz<k2>ut-prekz
<L>6321<pc>142,2<k1>udavAp<k2>ud-avAp
<L>6353<pc>143,1<k1>ude<k2>ud-e
<L>6419<pc>144,2<k1>udDan<k2>ud-Dan
<L>6428<pc>144,2<k1>udDas<k2>ud-Das
<L>6440<pc>144,2<k1>udDf<k2>ud-Df<h>2
<L>6443<pc>145,1<k1>udDfz<k2>ud-Dfz<h>2
<L>6514<pc>146,2<k1>udvIkz<k2>ud-vIkz
<L>6684<pc>150,1<k1>upacCand<k2>upa-cCand
<L>6791<pc>152,1<k1>upanizev<k2>upa-ni-zev
<L>6795<pc>152,1<k1>upanI<k2>upa-nI<h>2
<L>6822<pc>152,2<k1>upapre<k2>upa-pre
<L>6823<pc>152,2<k1>upaprekz<k2>upa-prekz
<L>6935<pc>155,1<k1>upavIkz<k2>upa-vIkz
<L>7012<pc>156,2<k1>upasame<k2>upa-sam-e
<L>7015<pc>156,2<k1>upasaMprAp<k2>upa-saM-prAp
<L>7016<pc>156,2<k1>apusaMpre<k2>apu-saM-pre
<L>7105<pc>158,2<k1>upAcCid<k2>upA-cCid
<L>7126<pc>158,2<k1>upAp<k2>upAp
<L>7137<pc>159,1<k1>upArj<k2>upArj
<L>7156<pc>159,2<k1>upAs<k2>upAs
<L>7173<pc>159,2<k1>upe<k2>upe
<L>7174<pc>159,2<k1>upekz<k2>upekz
<L>7183<pc>160,1<k1>upE<k2>upE
<L>7190<pc>160,1<k1>upope<k2>upope
<L>7333<pc>164,2<k1>e<k2>e
<L>7341<pc>167,1<k1>ekz<k2>ekz
<L>1621<pc>35,1<k1>anujAgarti<k2>anu-jAgarti
<L>6060<pc>136,1<k1>ujjAgarti<k2>uj-jAgarti
<L>14220<pc>455,1<k1>prajAgarti<k2>pra-jAgarti
<L>9547<pc>261,2<k1>jAgarti<k2>jAgarti<h>1
<L>11834<pc>368,2<k1>niravekz<k2>nir-avekz
<L>11979<pc>372,2<k1>nirRij<k2>nir-Rij
<L>11980<pc>372,2<k1>nirRI<k2>nir-RI
<L>11981<pc>372,2<k1>nirRud<k2>nir-Rud
<L>12348<pc>383,1<k1>nizad<k2>ni-zad<h>1
<L>12357<pc>383,2<k1>nizic<k2>ni-zic
<L>12360<pc>383,2<k1>nizUd<k2>ni-zUd
<L>12368<pc>383,2<k1>nizev<k2>ni-zev
<L>12422<pc>385,1<k1>nizwan<k2>ni-zwan
<L>12424<pc>385,1<k1>nizwap<k2>niz-wap
<L>12436<pc>385,2<k1>nizRA<k2>ni-zRA
<L>12736<pc>394,1<k1>nyavekz<k2>ny-avekz
<L>12751<pc>395,1<k1>nyer<k2>ny-er
<L>12898<pc>407,1<k1>parARud<k2>parA-Rud
<L>13018<pc>410,1<k1>paricCad<k2>pari-cCad<h>1
<L>13020<pc>410,1<k1>paricCid<k2>pari-cCid
<L>13038<pc>410,2<k1>pariRam<k2>pari-Ram
<L>13041<pc>410,2<k1>pariRah<k2>pari-Rah
<L>13048<pc>411,1<k1>pariRI<k2>pari-RI
<L>13111<pc>412,2<k1>parinirRij<k2>pari-nir-Rij
<L>13117<pc>412,2<k1>parinizic<k2>pari-ni-zic
<L>13118<pc>412,2<k1>parinizev<k2>pari-ni-zev
<L>13119<pc>412,2<k1>parinizWA<k2>pari-ni-zWA<h>1
<L>13368<pc>419,1<k1>parizaYj<k2>pari-zaYj
<L>13369<pc>419,1<k1>parizad<k2>pari-zad<h>1
<L>13371<pc>419,1<k1>parizic<k2>pari-zic
<L>13374<pc>419,1<k1>parizev<k2>pari-zev
<L>13381<pc>419,1<k1>parizWA<k2>pari-zWA
<L>13384<pc>419,1<k1>parizvaYj<k2>pari-zvaYj
<L>13404<pc>419,2<k1>parisame<k2>pari-same
<L>13447<pc>420,2<k1>parI<k2>parI<h>1
<L>13449<pc>420,2<k1>parIkz<k2>parIkz
<L>13466<pc>421,1<k1>pare<k2>pare<h>1
<L>13485<pc>421,2<k1>paryavazwamB<k2>pary-ava-zwamB
<L>13490<pc>422,1<k1>paryavekz<k2>pary-avekz
<L>13501<pc>422,1<k1>paryARI<k2>pary-A-RI
<L>13527<pc>423,1<k1>paryupAs<k2>pary-upAs
<L>13532<pc>423,1<k1>parye<k2>pary-e
<L>14201<pc>454,1<k1>pracCad<k2>pra-cCad
<L>14206<pc>454,2<k1>pracCid<k2>pra-cCid
<L>14239<pc>455,2<k1>praRad<k2>pra-Rad
<L>14240<pc>455,2<k1>praRam<k2>pra-Ram
<L>14246<pc>456,1<k1>praRaS<k2>pra-RaS
<L>14264<pc>456,2<k1>praRI<k2>pra-RI
<L>14265<pc>456,2<k1>praRu<k2>pra-Ru
<L>14266<pc>456,2<k1>praRud<k2>pra-Rud
<L>14348<pc>458,2<k1>praticCad<k2>prati-cCad
<L>14349<pc>458,2<k1>praticCid<k2>prati-cCid
<L>14647<pc>465,2<k1>pratizic<k2>prati-zic
<L>14654<pc>465,2<k1>pratizWA<k2>prati-zWA<h>1
<L>14746<pc>467,2<k1>pratI<k2>pratI<h>2
<L>14750<pc>468,1<k1>pratIkz<k2>pratIkz
<L>14765<pc>468,1<k1>pratIr<k2>pratIr
<L>14788<pc>469,1<k1>pratyaDI<k2>praty-aDI
<L>14850<pc>470,2<k1>pratyavAp<k2>praty-avAp
<L>14852<pc>470,2<k1>pratyavekz<k2>praty-avekz
<L>14926<pc>472,1<k1>pratyutTA<k2>praty-ut-TA
<L>14970<pc>473,1<k1>pratye<k2>praty-e
<L>15566<pc>493,2<k1>prAR<k2>prAR
<L>15607<pc>495,2<k1>prAp<k2>prAp
<L>15666<pc>497,2<k1>prAh<k2>prAh
<L>15685<pc>499,2<k1>pre<k2>pre
<L>15686<pc>499,2<k1>prekz<k2>prekz
<L>15693<pc>499,2<k1>preNK<k2>preNK
<L>15702<pc>500,2<k1>prer<k2>prer
<L>15715<pc>500,2<k1>prokz<k2>prokz
<L>15723<pc>501,1<k1>procCvas<k2>proc-Cvas
<L>15725<pc>501,1<k1>projJ<k2>projJ
<L>15726<pc>501,1<k1>proYC<k2>proYC
<L>15735<pc>501,1<k1>protTA<k2>prot-TA
<L>15750<pc>501,2<k1>prodDf<k2>prod-Df
<L>18442<pc>650,2<k1>vicCad<k2>vi-cCad
<L>18446<pc>651,1<k1>vicCid<k2>vi-cCid
<L>18782<pc>663,2<k1>viparI<k2>vi-parI
<L>18828<pc>665,1<k1>vipraRaS<k2>vi-pra-RaS
<L>18829<pc>665,1<k1>vipraRI<k2>vi-pra-RI
<L>18878<pc>666,1<k1>vipre<k2>vi-pre
<L>18879<pc>666,1<k1>viprekz<k2>vi-prekz
<L>19244<pc>681,1<k1>vizaYj<k2>vi-zaYj
<L>19246<pc>681,1<k1>vizad<k2>vi-zad
<L>19250<pc>681,2<k1>vizah<k2>vi-zah
<L>19267<pc>682,1<k1>vizwamB<k2>vi-zwamB
<L>19276<pc>683,1<k1>vizyand<k2>vi-zyand
<L>19278<pc>683,1<k1>vizvaYj<k2>vi-zvaYj
<L>19366<pc>686,2<k1>vI<k2>vI<h>1
<L>19371<pc>686,2<k1>vIkz<k2>vIkz
<L>19708<pc>701,2<k1>vyatizaYj<k2>vy-ati-zaYj
<L>19717<pc>701,2<k1>vyatI<k2>vy-atI
<L>19767<pc>703,1<k1>vyape<k2>vy-ape
<L>19768<pc>703,1<k1>vyapekz<k2>vy-apekz
<L>19783<pc>703,2<k1>vyavacCid<k2>vy-ava-cCid
<L>19924<pc>709,2<k1>vyutTA<k2>vy-ut-TA
<L>19933<pc>709,2<k1>vyudDf<k2>vy-ud-Df
<L>20797<pc>754,2<k1>saMvIkz<k2>saM-vIkz
<L>21455<pc>782,1<k1>saMnizad<k2>saM-ni-zad
<L>21456<pc>782,1<k1>saMnizic<k2>saM-ni-zic
<L>21585<pc>787,2<k1>samatI<k2>sam-atI
<L>21593<pc>788,1<k1>samaDizWA<k2>sam-aDi-zWA
<L>21594<pc>788,1<k1>samaDI<k2>sam-aDI
<L>21620<pc>788,2<k1>samanuprAp<k2>sam-anu-prAp
<L>21669<pc>789,2<k1>samaBiprekz<k2>sam-aBi-prekz
<L>21679<pc>790,1<k1>samaBivIkz<k2>sam-aBi-vIkz
<L>21685<pc>790,1<k1>samaBizic<k2>sam-aBi-zic
<L>21686<pc>790,1<k1>samaBizwu<k2>sam-aBi-zwu
<L>21687<pc>790,1<k1>samaBizWA<k2>sam-aBi-zWA
<L>21692<pc>790,1<k1>samaBI<k2>sam-aBI
<L>21700<pc>790,1<k1>samaByutTA<k2>sam-aBy-ut-TA
<L>21702<pc>790,1<k1>samaByudDf<k2>sam-aBy-ud-Df
<L>21704<pc>790,2<k1>samaBye<k2>sam-aBy-e
<L>21725<pc>791,2<k1>samavacCad<k2>sam-ava-cCad
<L>21747<pc>792,1<k1>samavAp<k2>sam-avAp
<L>21749<pc>792,1<k1>samavekz<k2>sam-avekz
<L>21782<pc>793,1<k1>samAcCad<k2>sam-A-cCad
<L>21940<pc>799,2<k1>samucCvas<k2>sam-uc-Cvas
<L>21961<pc>800,1<k1>samutTA<k2>sam-ut-TA
<L>22014<pc>801,2<k1>samudDf<k2>sam-ud-Df
<L>22037<pc>802,2<k1>samudvIkz<k2>sam-ud-vIkz
<L>22113<pc>804,1<k1>samupAs<k2>sam-upAs
<L>22117<pc>804,2<k1>samupekz<k2>sam-upekz
<L>22135<pc>805,1<k1>same<k2>sam-e
<L>22171<pc>806,1<k1>saMparizvaYj<k2>saM-pari-zvaYj
<L>22175<pc>806,1<k1>saMparI<k2>saM-parI
<L>22214<pc>807,2<k1>saMpracCid<k2>saM-pra-cCid
<L>22218<pc>807,2<k1>saMpraRad<k2>saM-pra-Rad
<L>22219<pc>807,2<k1>saMpraRam<k2>saM-pra-Ram
<L>22220<pc>807,2<k1>saMpraRaS<k2>saM-pra-RaS
<L>22222<pc>807,2<k1>saMpraRI<k2>saM-pra-RI
<L>22223<pc>807,2<k1>saMpraRud<k2>saM-pra-Rud
<L>22245<pc>808,1<k1>saMpratizWA<k2>saM-prati-zWA<h>1
<L>22248<pc>808,1<k1>saMpratI<k2>saM-pratI
<L>22249<pc>808,1<k1>saMpratIkz<k2>saM-pratIkz
<L>22347<pc>810,2<k1>saMprAp<k2>saM-prAp
<L>22353<pc>811,1<k1>saMprekz<k2>saM-prekz
<L>22355<pc>811,1<k1>saMprer<k2>saM-prer
